bank,context,salt,macro_class_delta_p05,macro_class_delta_median,macro_class_delta_p95,capture_delta_p05,capture_delta_median,capture_delta_p95,L1_delta_p05,L1_delta_median,L1_delta_p95,JS_delta_p05,JS_delta_median,JS_delta_p95,dominant_agreement_delta_p05,dominant_agreement_delta_median,dominant_agreement_delta_p95,DU_delta_p05,DU_delta_median,DU_delta_p95,true_template_regret_delta_p05,true_template_regret_delta_median,true_template_regret_delta_p95,canonical_agreement_delta_p05,canonical_agreement_delta_median,canonical_agreement_delta_p95,optimal_set_agreement_delta_p05,optimal_set_agreement_delta_median,optimal_set_agreement_delta_p95
A,contrast_low,T013-S2,-0.3823216954621196,0.8773351183597349,2.2337638248260987,-0.02810012702511614,0.06448294345343131,0.16417861703048892,-0.03294202359217779,0.040681001862350796,0.10813828809608701,-0.010296875861604767,0.01800998525187522,0.04069805933790093,-0.0965,-0.010000000000000009,0.07000000000000002,-0.009770214420886577,0.0064065399879262575,0.022631143220553828,-0.022315351146624585,-0.01039099650830795,0.004304414074825017,-0.050000000000000044,0.015000000000000013,0.09499999999999997,-0.048249999999999967,0.020000000000000018,0.09999999999999998
A,contrast_low,T013-S3,-0.5078954361115803,0.9704948861862004,2.2886565824925733,-0.03738934888138588,0.07144417789027918,0.1684822767607932,-0.03294202359217779,0.040681001862350796,0.10813828809608701,-0.010296875861604767,0.01800998525187522,0.04069805933790093,-0.0965,-0.010000000000000009,0.07000000000000002,-0.009742005964333446,0.006416335836854727,0.022575866319569166,-0.02209965508335545,-0.01039439030875483,0.0027237413427379864,-0.058249999999999975,0.015000000000000013,0.10000000000000005,-0.05325000000000005,0.015000000000000013,0.10324999999999994
A,gaussian_noise,T013-S0,-0.1750872792109007,0.3778427107084781,1.4989812471191144,-0.025588952574133118,0.0552215971849957,0.21907565309666652,-0.07066952769088233,-0.007096450225494655,0.06638394006392496,-0.021857263793987898,0.0016811918385389452,0.024868371649077663,-0.06649999999999998,0.010000000000000009,0.09649999999999993,-0.009737076887278517,0.0008057313346899186,0.01086214096007517,-0.014444831699423472,-0.005579366727869146,-0.0008124061764113628,-0.04324999999999996,0.015000000000000013,0.08000000000000003,-0.03500000000000003,0.015000000000000013,0.08000000000000003
A,gaussian_noise,T013-S1,-0.18015935074913997,0.3987891498605336,1.4138191143468395,-0.026205179694445874,0.058006100093257296,0.20564785448461587,-0.07066952769088233,-0.007096450225494655,0.06638394006392496,-0.021857263793987898,0.0016811918385389452,0.024868371649077663,-0.06649999999999998,0.010000000000000009,0.09649999999999993,-0.00975914479416368,0.0007412788454128072,0.010903583190208222,-0.013854180551408489,-0.005387702673396892,-0.000775446340626329,-0.038250000000000034,0.020000000000000018,0.08824999999999993,-0.03824999999999992,0.019999999999999962,0.08824999999999993
A,gaussian_noise,T013-S2,-0.1384142169742404,0.44071203006527426,1.5066496906081137,-0.020252940491472887,0.06448553272854429,0.22045485783487725,-0.07066952769088233,-0.007096450225494655,0.06638394006392496,-0.021857263793987898,0.0016811918385389452,0.024868371649077663,-0.06649999999999998,0.010000000000000009,0.09649999999999993,-0.009809721975115104,0.0007405250986330936,0.01088804044990859,-0.01414099968438185,-0.005441555889629468,-0.0002152772938657967,-0.030000000000000027,0.020000000000000018,0.08324999999999996,-0.030000000000000027,0.020000000000000018,0.08499999999999996
A,gaussian_noise,T013-S3,-0.14968680094850373,0.42297934097825163,1.602110449927735,-0.021834666014183376,0.061699579272435134,0.23369827112571756,-0.07066952769088233,-0.007096450225494655,0.06638394006392496,-0.021857263793987898,0.0016811918385389452,0.024868371649077663,-0.06649999999999998,0.010000000000000009,0.09649999999999993,-0.009785399702564914,0.0008151911894616615,0.010921622081544203,-0.014480976777921373,-0.005345548558704653,-0.00034800268117768065,-0.045,0.010000000000000009,0.07999999999999996,-0.04324999999999996,0.010000000000000009,0.07999999999999996
A,gaussian_blur,T013-S0,-0.27485750997642633,0.46698607533322445,1.2706712120565924,-0.030041855529103306,0.05104145857417847,0.13888403842728825,-0.04190390184439471,0.013565684380296927,0.06352717864801777,-0.008704724248313384,0.008663247146890998,0.02317866875606183,-0.07649999999999998,-0.010000000000000009,0.06999999999999995,-0.007502683814654899,0.0023068404150212926,0.01257238375766605,-0.011863735551167471,-0.004524310932498106,0.0010998433619796059,-0.08500000000000008,-0.020000000000000018,0.03500000000000003,-0.08500000000000008,-0.02250000000000002,0.03324999999999999
A,gaussian_blur,T013-S1,-0.2913664307570215,0.4750459753353766,1.1490354653280677,-0.03182265832790703,0.05188389658982995,0.1254961421766395,-0.04190390184439471,0.013565684380296927,0.06352717864801777,-0.008704724248313384,0.008663247146890998,0.02317866875606183,-0.07649999999999998,-0.010000000000000009,0.06999999999999995,-0.007495917896126873,0.0022324171556570155,0.012580271357584319,-0.01289883262270631,-0.004620964586709983,0.0017463741081614817,-0.09325000000000001,-0.025000000000000022,0.03500000000000003,-0.09000000000000008,-0.020000000000000018,0.03824999999999999
A,gaussian_blur,T013-S2,-0.2927562080709006,0.5010363613684028,1.263691599864411,-0.03225738857740537,0.05520676984638195,0.1392400565898737,-0.04190390184439471,0.013565684380296927,0.06352717864801777,-0.008704724248313384,0.008663247146890998,0.02317866875606183,-0.07649999999999998,-0.010000000000000009,0.06999999999999995,-0.007490194979479472,0.002333021172590183,0.01267468390364787,-0.012691328410647521,-0.004415791182074227,0.0021465133568007617,-0.08325,-0.022499999999999964,0.05500000000000005,-0.08325,-0.02499999999999991,0.053250000000000006
A,gaussian_blur,T013-S3,-0.1815149401825927,0.4963049341547432,1.2852236690237613,-0.019970779476311352,0.05460485171655366,0.14140388910130522,-0.04190390184439471,0.013565684380296927,0.06352717864801777,-0.008704724248313384,0.008663247146890998,0.02317866875606183,-0.07649999999999998,-0.010000000000000009,0.06999999999999995,-0.007420064355550143,0.002354359698980013,0.012725323629225328,-0.012456779933476643,-0.004807873321391093,0.0019555834524827374,-0.09999999999999998,-0.025000000000000022,0.05,-0.09824999999999998,-0.025000000000000022,0.05324999999999993
B,clean,T013-S0,-0.12224416537807947,0.3236188824820694,1.2113977973936838,-0.01981895408974266,0.052467025764781405,0.19639904494996738,-0.05670579289217354,0.0016925334081850374,0.04196631300402406,-0.01389520731395548,0.00473251453341729,0.017394978049640252,-0.056499999999999974,0.010000000000000009,0.08000000000000007,-0.011013012343617701,-0.000226232369375981,0.00828120234830659,-0.01187867732179909,-0.004553798388860942,0.0003898513972025293,-0.06324999999999995,-0.007499999999999951,0.05,-0.06324999999999995,-0.009999999999999953,0.05
B,clean,T013-S1,-0.14976893400659605,0.3761939545243713,1.2335076194411907,-0.02473534302288919,0.06213095239021754,0.2037220488387898,-0.05670579289217354,0.0016925334081850374,0.04196631300402406,-0.01389520731395548,0.00473251453341729,0.017394978049640252,-0.056499999999999974,0.010000000000000009,0.08000000000000007,-0.011086478612654398,-0.000245442105489789,0.008266782625971863,-0.011209784907714772,-0.004460436557990685,0.0007812834495264058,-0.04824999999999993,0.007500000000000007,0.06000000000000001,-0.04499999999999993,0.010000000000000009,0.06324999999999997
B,clean,T013-S2,-0.14043376478157157,0.3509069240761562,1.2722049063466179,-0.023012246056353852,0.05750153100487415,0.20847046566389843,-0.05670579289217354,0.0016925334081850374,0.04196631300402406,-0.01389520731395548,0.00473251453341729,0.017394978049640252,-0.056499999999999974,0.010000000000000009,0.08000000000000007,-0.011087347517174542,-0.0001820261759183095,0.008293384827099954,-0.011146067908083142,-0.0042929810227646,0.000808309709969765,-0.04999999999999993,0.0050000000000000044,0.05999999999999994,-0.04999999999999993,0.0050000000000000044,0.05999999999999994
B,clean,T013-S3,-0.14775023264988255,0.3281293234353413,1.255807443487675,-0.023849410779931475,0.052965676487931546,0.2027087676484712,-0.05670579289217354,0.0016925334081850374,0.04196631300402406,-0.01389520731395548,0.00473251453341729,0.017394978049640252,-0.056499999999999974,0.010000000000000009,0.08000000000000007,-0.01103489711047995,-0.00024550079423502763,0.008412280551227029,-0.012118417137336154,-0.004327450667559291,0.00046089230448214405,-0.058249999999999975,-0.0050000000000000044,0.05500000000000005,-0.053249999999999936,-0.0025000000000000022,0.058249999999999934
B,brightness_dark,T013-S0,-0.010222520570036031,0.8885811290162486,2.0470520764676294,-0.0005772392352195609,0.05017587275366736,0.1155917238785883,-0.09263330773544802,-0.007528808348665095,0.05397658632853088,-0.026818848347273626,0.002776800974935309,0.02504536037649522,-0.06649999999999995,0.020000000000000018,0.10999999999999999,-0.01111337557052075,0.007765384342686872,0.030510756401935877,-0.015704419050085225,-0.006393454478749869,0.001156010218397624,-0.03324999999999999,0.03499999999999992,0.08824999999999993,-0.026500000000000017,0.03500000000000003,0.09499999999999997
B,brightness_dark,T013-S1,-0.0742308903262234,0.8139435883812993,2.0216673548887902,-0.004182134255029322,0.045857207796797805,0.11389980990391203,-0.09263330773544802,-0.007528808348665095,0.05397658632853088,-0.026818848347273626,0.002776800974935309,0.02504536037649522,-0.06649999999999995,0.020000000000000018,0.10999999999999999,-0.011172369029312788,0.007778298933320035,0.030508642511185232,-0.01492211397881355,-0.006754139048346576,0.0009775636413994469,-0.040000000000000036,0.030000000000000027,0.08499999999999996,-0.03824999999999996,0.03249999999999997,0.08499999999999996
B,brightness_dark,T013-S2,-0.031581701876368454,0.8654883841578496,1.9660346209750774,-0.001774621999108898,0.048633057601275564,0.11047435958487069,-0.09263330773544802,-0.007528808348665095,0.05397658632853088,-0.026818848347273626,0.002776800974935309,0.02504536037649522,-0.06649999999999995,0.020000000000000018,0.10999999999999999,-0.011107228499601008,0.007726417995571881,0.03046961329147722,-0.014932227177836512,-0.006497385037939735,0.001130199023369401,-0.04149999999999996,0.030000000000000027,0.08325000000000003,-0.02999999999999999,0.03500000000000003,0.08824999999999997
